image,nom,prenom,email,genre,telephone,action,id,referentiel
img1.png,seydina,diop,moupppssa,M,777777777,absent,1,
img1.png,ablaye,fall,pathe,M,777777777,absent,2,
img1.png,seydina,mohamed,moussa,M,777777777,present,3
img1.png,pathe,pathe,pathe,M,777777777,absent,4
img1.png,seydina,diop,moupppssa,M,777777777,absent,1
img1.png,ablaye,fall,pathe,M,777777777,absent,2
img1.png,seydina,mohamed,moussa,M,777777777,present,3
img1.png,pathe,pathe,pathe,M,777777777,absent,5
img1.png,seydina,diop,moupppssa,M,777777777,absent,1
img1.png,ablaye,fall,pathe,M,777777777,absent,2
img1.png,seydina,mohamed,moussa,M,777777777,present,5
img1.png,pathe,pathe,pathe,M,777777777,absent,4
img1.png,seydina,diop,moupppssa,M,777777777,absent,1
img1.png,ablaye,fall,pathe,M,777777777,absent,2
img1.png,seydina,mohamed,moussa,M,777777777,present,5
img1.png,pathe,pathe,pathe,M,777777777,absent,4
